base_case_id,scenario,battery_enabled,smart_ev_charging_enabled,ev_v2b_enabled,weather_type,PV_install_rate,ev_count,bat_count,price_gap,pv_total_kWh,pv_peak_kW,pv_midday_kWh,pv_to_load_ratio,pv_surplus_before_storage_kWh,pv_surplus_ratio,load_total_kWh,load_peak_kW,load_peak_time,battery_total_capacity_kWh,battery_power_kW,battery_to_load_ratio,storage_to_pv_ratio,ev_total_capacity_kWh,avg_arrival_time,avg_departure_time,avg_parking_hours,avg_initial_soc,avg_target_soc,ev_to_load_ratio,parking_flexibility,ev_peak_available_hours,min_price,max_price,actual_price_spread,price_gap_ratio,pv_only_baseline_cost,scenario_cost,incremental_saving,incremental_saving_rate,incremental_saving_per_EV,incremental_saving_per_battery,grid_import_total_kWh,grid_import_peak_kW,pv_self_consumption_kWh,pv_self_consumption_rate,pv_curtailment_kWh,battery_charge_kWh,battery_discharge_kWh,battery_cycles,ev_charge_kWh,ev_discharge_kWh,ev_unmet_kWh,ev_departure_violation_count,battery_extra_saving,smart_ev_extra_saving,v2b_total_extra_saving,v2b_extra_over_smart_charging,integrated_extra_saving,battery_v2b_interaction_saving,S4_vs_best_single_saving
0,S0_PV_only_unmanaged_EV,False,False,False,0,0.7965429868602328,10,7,2.993292420985183,241.16564372859045,39.12663276737423,135.4136839683368,0.0833226149230194,0.0,0.0,2894.36,157.9,15,94.5,35,0.03264970494340717,0.3918468590258693,675.0,8.4,17.4,9.0,0.23158075760774213,0.9,0.2332121781671941,90.0,14,2.23,8.216584841970366,5.986584841970366,3.6845671937086846,16761.872855253547,16761.872855253547,0.0,0.0,0.0,0.0,3128.123817971172,203.39368708126358,241.16564372859045,1.0,0.0,0.0,0.0,0.0,474.92946169976227,0.0,0.0,0,361.07231187889556,0.0,97.49168674569955,97.49168674569955,458.56399862458966,-5.4569682106375694e-12,97.4916867456941
0,S1_PV_battery,True,False,False,0,0.7965429868602328,10,7,2.993292420985183,241.16564372859045,39.12663276737423,135.4136839683368,0.0833226149230194,0.0,0.0,2894.36,157.9,15,94.5,35,0.03264970494340717,0.3918468590258693,675.0,8.4,17.4,9.0,0.23158075760774213,0.9,0.2332121781671941,90.0,14,2.23,8.216584841970366,5.986584841970366,3.6845671937086846,16761.872855253547,16400.80054337465,361.07231187889556,0.021541286883447957,36.10723118788955,51.58175883984222,3134.9128969185404,203.39368708126358,241.16564372859045,1.0,0.0,69.63157894736838,62.842499999999994,0.6649999999999999,474.92946169976227,0.0,0.0,0,361.07231187889556,0.0,97.49168674569955,97.49168674569955,458.56399862458966,-5.4569682106375694e-12,97.4916867456941
0,S2_PV_smart_EV_charging,False,True,False,0,0.7965429868602328,10,7,2.993292420985183,241.16564372859045,39.12663276737423,135.4136839683368,0.0833226149230194,0.0,0.0,2894.36,157.9,15,94.5,35,0.03264970494340717,0.3918468590258693,675.0,8.4,17.4,9.0,0.23158075760774213,0.9,0.2332121781671941,90.0,14,2.23,8.216584841970366,5.986584841970366,3.6845671937086846,16761.872855253547,16761.872855253547,0.0,0.0,0.0,0.0,3128.123817971172,202.01631574451864,241.16564372859045,1.0,0.0,0.0,0.0,0.0,474.92946169976216,0.0,0.0,0,361.07231187889556,0.0,97.49168674569955,97.49168674569955,458.56399862458966,-5.4569682106375694e-12,97.4916867456941
0,S3_PV_V2B,False,True,True,0,0.7965429868602328,10,7,2.993292420985183,241.16564372859045,39.12663276737423,135.4136839683368,0.0833226149230194,0.0,0.0,2894.36,157.9,15,94.5,35,0.03264970494340717,0.3918468590258693,675.0,8.4,17.4,9.0,0.23158075760774213,0.9,0.2332121781671941,90.0,14,2.23,8.216584841970366,5.986584841970366,3.6845671937086846,16761.872855253547,16664.381168507847,97.49168674569955,0.005816276473851398,9.749168674569955,13.927383820814223,3132.4598941184113,207.34745555462916,241.16564372859045,1.0,0.0,0.0,0.0,0.0,519.402037568885,40.13649972188351,0.0,0,361.07231187889556,0.0,97.49168674569955,97.49168674569955,458.56399862458966,-5.4569682106375694e-12,97.4916867456941
0,S4_PV_battery_V2B,True,True,True,0,0.7965429868602328,10,7,2.993292420985183,241.16564372859045,39.12663276737423,135.4136839683368,0.0833226149230194,0.0,0.0,2894.36,157.9,15,94.5,35,0.03264970494340717,0.3918468590258693,675.0,8.4,17.4,9.0,0.23158075760774213,0.9,0.2332121781671941,90.0,14,2.23,8.216584841970366,5.986584841970366,3.6845671937086846,16761.872855253547,16303.308856628957,458.56399862458966,0.02735756335729903,45.856399862458964,65.50914266065567,3139.24897306578,207.34745555462916,241.16564372859045,1.0,0.0,69.63157894736844,62.84249999999998,0.6649999999999998,519.402037568885,40.13649972188351,0.0,0,361.07231187889556,0.0,97.49168674569955,97.49168674569955,458.56399862458966,-5.4569682106375694e-12,97.4916867456941
1,S0_PV_only_unmanaged_EV,False,False,False,1,0.5632882178455393,9,8,0.07983126110107097,714.1084158897298,102.81111971911429,484.5277645486756,0.2467241172106199,0.0,0.0,2894.36,157.9,15,108.0,40,0.03731394850675106,0.1512375398425174,607.5,8.444444444444445,18.11111111111111,9.666666666666666,0.3020847863906335,0.8999999999999999,0.20989096035047472,87.0,19,2.23,2.389662522202142,0.15966252220214194,1.0715975435884044,5931.44387870926,5931.44387870926,0.0,0.0,0.0,0.0,2562.602628602576,156.65817305566347,714.1084158897298,1.0,0.0,0.0,0.0,0.0,382.35104449230545,0.0,0.0,0,0.0,0.0,9.094947017729282e-13,9.094947017729282e-13,9.094947017729282e-13,0.0,0.0
1,S1_PV_battery,True,False,False,1,0.5632882178455393,9,8,0.07983126110107097,714.1084158897298,102.81111971911429,484.5277645486756,0.2467241172106199,0.0,0.0,2894.36,157.9,15,108.0,40,0.03731394850675106,0.1512375398425174,607.5,8.444444444444445,18.11111111111111,9.666666666666666,0.3020847863906335,0.8999999999999999,0.20989096035047472,87.0,19,2.23,2.389662522202142,0.15966252220214194,1.0715975435884044,5931.44387870926,5931.44387870926,0.0,0.0,0.0,0.0,2562.602628602576,156.65817305566347,714.1084158897298,1.0,0.0,0.0,0.0,0.0,382.35104449230545,0.0,0.0,0,0.0,0.0,9.094947017729282e-13,9.094947017729282e-13,9.094947017729282e-13,0.0,0.0
1,S2_PV_smart_EV_charging,False,True,False,1,0.5632882178455393,9,8,0.07983126110107097,714.1084158897298,102.81111971911429,484.5277645486756,0.2467241172106199,0.0,0.0,2894.36,157.9,15,108.0,40,0.03731394850675106,0.1512375398425174,607.5,8.444444444444445,18.11111111111111,9.666666666666666,0.3020847863906335,0.8999999999999999,0.20989096035047472,87.0,19,2.23,2.389662522202142,0.15966252220214194,1.0715975435884044,5931.44387870926,5931.44387870926,0.0,0.0,0.0,0.0,2562.6026286025754,156.65817305566347,714.1084158897298,1.0,0.0,0.0,0.0,0.0,382.3510444923054,0.0,0.0,0,0.0,0.0,9.094947017729282e-13,9.094947017729282e-13,9.094947017729282e-13,0.0,0.0
1,S3_PV_V2B,False,True,True,1,0.5632882178455393,9,8,0.07983126110107097,714.1084158897298,102.81111971911429,484.5277645486756,0.2467241172106199,0.0,0.0,2894.36,157.9,15,108.0,40,0.03731394850675106,0.1512375398425174,607.5,8.444444444444445,18.11111111111111,9.666666666666666,0.3020847863906335,0.8999999999999999,0.20989096035047472,87.0,19,2.23,2.389662522202142,0.15966252220214194,1.0715975435884044,5931.44387870926,5931.4438787092595,9.094947017729282e-13,1.5333445285346661e-16,1.0105496686365869e-13,1.1368683772161603e-13,2562.6026286025754,156.65817305566347,714.1084158897298,1.0,0.0,0.0,0.0,0.0,382.35104449230533,0.0,0.0,0,0.0,0.0,9.094947017729282e-13,9.094947017729282e-13,9.094947017729282e-13,0.0,0.0
1,S4_PV_battery_V2B,True,True,True,1,0.5632882178455393,9,8,0.07983126110107097,714.1084158897298,102.81111971911429,484.5277645486756,0.2467241172106199,0.0,0.0,2894.36,157.9,15,108.0,40,0.03731394850675106,0.1512375398425174,607.5,8.444444444444445,18.11111111111111,9.666666666666666,0.3020847863906335,0.8999999999999999,0.20989096035047472,87.0,19,2.23,2.389662522202142,0.15966252220214194,1.0715975435884044,5931.44387870926,5931.4438787092595,9.094947017729282e-13,1.5333445285346661e-16,1.0105496686365869e-13,1.1368683772161603e-13,2562.6026286025754,156.65817305566347,714.1084158897298,1.0,0.0,0.0,0.0,0.0,382.35104449230414,0.0,0.0,0,0.0,0.0,9.094947017729282e-13,9.094947017729282e-13,9.094947017729282e-13,0.0,0.0
